霍乱由于O1群霍乱弧菌霍乱生物型所致	A00.000
睾丸继发恶性肿瘤	C79.817
前列腺继发恶性肿瘤	C79.818
阴囊继发恶性肿瘤	C79.819
阴茎继发恶性肿瘤	C79.820
会阴继发恶性肿瘤	C79.821
外阴继发恶性肿瘤	C79.822
前庭大腺继发恶性肿瘤	C79.823
直肠阴道隔继发恶性肿瘤	C79.824
垂体继发恶性肿瘤	C79.825
淋巴管继发恶性肿瘤	C79.826
结缔组织继发恶性肿瘤	C79.827
神经节继发恶性肿瘤	C79.828
骶尾部继发恶性肿瘤	C79.829
颌下腺继发恶性肿瘤	C79.830
腮腺继发恶性肿瘤	C79.831
拉特克囊继发恶性肿瘤	C79.832
纳博特腺继发恶性肿瘤	C79.833
颈部继发性恶性肿瘤	C79.834
舌下腺继发恶性肿瘤	C79.835
恶性肿瘤	C80.x00
多部位继发恶性肿瘤	C80.x00x001
伊顿兰伯顿综合征	C80.x00x003+G73.1*
恶性肿瘤复发	C80.x00x004
原发部位不明恶性肿瘤	C80.x00x005
癌性脑白质病	C80.x00x007+G13.1*
癌性脑病	C80.x00x008+G13.1*
恶性恶病质	C80.x01
恶性肿瘤性周围神经病	C80.x02+G63.1*
全身性广泛继发恶性肿瘤	C80.x03
淋巴细胞为主型霍奇金病	C81.000
富含淋巴细胞的经典霍奇金淋巴瘤	C81.000x004
结节性淋巴细胞为主型霍奇金病	C81.001M96590/3
结节性硬化型霍奇金病	C81.100
混合细胞型霍奇金病	C81.200
混合细胞型经典霍奇金淋巴瘤	C81.200x002
淋巴细胞减少型霍奇金病	C81.300
淋巴细胞削减型经典霍奇金淋巴瘤	C81.300x002
霍奇金病其他类型的	C81.700
霍奇金副肉芽肿	C81.701
霍奇金肉芽肿	C81.702
霍奇金肉瘤	C81.703
霍奇金病	C81.900
经典型霍奇金淋巴瘤	C81.900x004
皮肤霍奇金淋巴瘤	C81.900x005
小核裂细胞滤泡性非霍奇金淋巴瘤	C82.000
滤泡性淋巴瘤Ⅰ级	C82.001
小核裂细胞和大细胞混合型滤泡性非霍奇金淋巴瘤	C82.100
滤泡性淋巴瘤Ⅱ级	C82.101
大细胞滤泡性非霍奇金淋巴瘤	C82.200
滤泡性淋巴瘤Ⅲ级	C82.201
滤泡性非霍奇金淋巴瘤其他类型的	C82.700
原发性皮肤滤泡中心性淋巴瘤	C82.700x002
粘膜相关淋巴组织结外边缘区B细胞淋巴瘤	C82.700x003
结内边缘区淋巴瘤	C82.700x004
恶性淋巴瘤淋巴细胞性高分化结节性	C82.701
恶性淋巴瘤淋巴细胞性中分化结节性	C82.702
恶性淋巴瘤淋巴细胞性低分化结节性	C82.703
恶性淋巴瘤中心母细胞性滤泡性	C82.704
滤泡性非霍奇金淋巴瘤	C82.900
恶性淋巴瘤滤泡中心性	C82.901
滤泡性淋巴瘤	C82.902
小细胞弥漫性非霍奇金淋巴瘤	C83.000
小淋巴细胞性淋巴瘤	C83.001
弥漫性小细胞无核裂淋巴瘤	C83.002
小核裂细胞弥漫性非霍奇金淋巴瘤	C83.100
小细胞和大细胞混合型弥漫性非霍奇金淋巴瘤	C83.200
大细胞弥漫性非霍奇金淋巴瘤	C83.300
结节性网状细胞肉瘤	C83.300x003
多形细胞性网状细胞肉瘤	C83.300x004
原发中枢神经系统弥漫大B细胞淋巴瘤	C83.300x006
原发皮肤弥漫大B细胞淋巴瘤腿型	C83.300x007
老年人EBV阳性弥漫大B细胞淋巴瘤	C83.300x008
与慢性炎症相关弥漫大B细胞淋巴瘤	C83.300x009
网状细胞肉瘤	C83.301
恶性淋巴瘤大细胞核裂弥漫性	C83.302
恶性淋巴瘤大细胞无核裂弥漫性	C83.303
富于T细胞的B细胞淋巴瘤	C83.304
间变性大B细胞淋巴瘤	C83.305
弥漫大B细胞淋巴瘤	C83.306
纵隔大B细胞淋巴瘤	C83.307
血管内大B细胞淋巴瘤	C83.308
胸腺大B细胞淋巴瘤	C83.309
T细胞组织细胞丰富型大B细胞淋巴瘤	C83.310
恶性淋巴瘤大B细胞弥漫性免疫母细胞性	C83.311
免疫母细胞弥漫性非霍奇金淋巴瘤	C83.400
免疫母细胞肉瘤	C83.401
浆母细胞淋巴瘤	C83.402
原淋巴细胞弥漫性非霍奇金淋巴瘤	C83.500
未分化弥漫性非霍奇金淋巴瘤	C83.600
伯基特瘤	C83.700
伯基特淋巴瘤	C83.701
弥漫性非霍奇金淋巴瘤其他类型的	C83.800
脾红髓弥漫小B细胞淋巴瘤	C83.800x006
恶性淋巴瘤淋巴浆细胞性	C83.801
恶性淋巴瘤中心细胞性	C83.803
恶性淋巴瘤性息肉病	C83.804
原发渗出性淋巴瘤	C83.805
恶性淋巴瘤中心母细胞中心细胞性弥漫性	C83.806
恶性淋巴瘤中心母细胞性弥漫性	C83.809
脾缘区B细胞淋巴瘤	C83.810
恶性淋巴瘤淋巴细胞性中分化弥漫性	C83.811
外套细胞性淋巴瘤	C83.812M96730/3
弥漫性非霍奇金淋巴瘤	C83.900
蕈样真菌病	C84.000M97000/3
原发性皮肤T细胞淋巴瘤蕈样肉芽肿	C84.000x002
嗜毛囊性蕈样肉芽肿	C84.000x003
塞扎里病	C84.100
T区性淋巴瘤	C84.200
淋巴上皮样淋巴瘤	C84.300
伦纳特淋巴瘤	C84.301
周围T细胞淋巴瘤	C84.400
血管免疫母细胞性T细胞淋巴瘤	C84.401
外周T细胞淋巴瘤多形性小细胞	C84.402
外周T细胞淋巴瘤多形性中等细胞和大细胞	C84.403
间变大细胞T细胞淋巴瘤ALK阴性	C84.404
外周T细胞淋巴瘤AILD	C84.405
T细胞淋巴瘤其他和未特指的	C84.500
T细胞淋巴瘤	C84.500x002
儿童系统性EBV阳性T细胞增殖性疾病	C84.500x004
肠病相关T细胞淋巴瘤	C84.500x006
原发皮肤CD30T细胞淋巴增殖性疾病	C84.500x008
原发皮肤γδT细胞淋巴瘤	C84.500x009
原发皮肤侵袭性嗜表皮CD8阳性细胞毒性T细胞淋巴瘤	C84.500x010
原发皮肤外周T细胞淋巴瘤罕见类型	C84.500x012
皮肤γδT细胞淋巴瘤	C84.500x014
水疱痘疮样淋巴瘤	C84.500x015
原发皮肤CD4小中多形性T细胞淋巴瘤	C84.500x016
原发皮肤外周T细胞淋巴瘤非特殊类型	C84.500x017
原发皮肤侵袭性嗜表皮CD8T细胞淋巴瘤	C84.500x018
皮下脂膜炎样T细胞淋巴瘤	C84.501
皮肤淋巴瘤	C84.502
肉芽肿性皮肤松弛症	C84.503
皮肤T细胞淋巴瘤	C84.504
肠病相关的T细胞淋巴瘤	C84.505
T细胞淋巴瘤	C84.506
淋巴肉瘤	C85.000
B细胞淋巴瘤	C85.100
非霍奇金淋巴瘤B细胞型	C85.100x001
富T细胞富组织细胞大B细胞淋巴瘤	C85.100x010
原发纵隔大B细胞淋巴瘤	C85.100x015
ALK大B细胞淋巴瘤	C85.100x017
介于弥漫大B细胞淋巴瘤和伯基特淋巴瘤之间B细胞淋巴瘤不能分类	C85.100x019
介于弥漫大B细胞淋巴瘤和经典霍奇金淋巴瘤之间B细胞淋巴瘤不能分类	C85.100x020
原发皮肤B细胞淋巴瘤	C85.100x021
原发皮肤边缘区B细胞淋巴瘤	C85.100x022
原发皮肤弥漫性大B细胞淋巴瘤	C85.100x023
原发胸腺大B细胞淋巴瘤	C85.100x024
非霍奇金淋巴瘤的其他特指类型	C85.700
慢性NK细胞淋巴增殖性疾病	C85.700x004
结外NKT细胞淋巴瘤鼻型	C85.700x005
原发性皮肤CD30间变性大细胞淋巴瘤	C85.700x010
ALK阳性间变性大细胞淋巴瘤	C85.700x014
ALK阴性间变性大细胞淋巴瘤	C85.700x015
皮下NK细胞淋巴瘤	C85.700x016
单核细胞样B细胞淋巴瘤	C85.701
中线恶性网状细胞增多症	C85.702
恶性网状细胞增多症	C85.703
血管中心性T细胞淋巴瘤	C85.704
大细胞ki1淋巴瘤	C85.705
小神经胶质细胞瘤	C85.706
NKT细胞淋巴瘤	C85.707M97190/3
间变大细胞淋巴瘤	C85.709
肝脾T细胞淋巴瘤	C85.710M97160/3
边缘区B细胞淋巴瘤	C85.713
血管内皮瘤病	C85.715
结内边缘带B细胞淋巴瘤	C85.716
结外边缘带B细胞淋巴瘤	C85.717
与黏膜有关的淋巴样组织淋巴瘤	C85.718
与支气管有关的淋巴样组织淋巴瘤	C85.719
与皮肤有关的淋巴样组织淋巴瘤	C85.720
间变性大细胞淋巴瘤ALK阳性	C85.721
原发皮肤CD30T细胞淋巴瘤	C85.722
肠T细胞淋巴瘤	C85.723
自然杀伤T细胞淋巴瘤	C85.724
非霍奇金淋巴瘤	C85.900
鼻窦淋巴瘤	C85.900x001
鼻腔淋巴瘤	C85.900x002
扁桃体淋巴瘤	C85.900x003
肠淋巴瘤	C85.900x004
肠系膜淋巴瘤	C85.900x005
淋巴瘤	C85.900x006
肺淋巴瘤	C85.900x008
腹膜后淋巴瘤	C85.900x009
腹腔淋巴瘤	C85.900x010
肝淋巴瘤	C85.900x011
睾丸淋巴瘤	C85.900x012
纵隔淋巴瘤	C85.900x013
回盲部淋巴瘤	C85.900x014
结肠淋巴瘤	C85.900x015
卵巢淋巴瘤	C85.900x016
盲肠淋巴瘤	C85.900x017
脑淋巴瘤	C85.900x019
脾淋巴瘤	C85.900x020
舌淋巴瘤	C85.900x022
胃淋巴瘤	C85.900x023
小肠淋巴瘤	C85.900x024
眼淋巴瘤	C85.900x025
硬膜外淋巴瘤	C85.900x026
肢体淋巴瘤	C85.900x027
直肠淋巴瘤	C85.900x028
骨淋巴瘤	C85.900x029
腹股沟淋巴瘤	C85.900x030
乳腺淋巴瘤	C85.900x031
周围神经血管内淋巴瘤	C85.900x034
甲状腺淋巴瘤	C85.900x036
脊髓淋巴瘤	C85.900x037
淋巴瘤结内侵及	C85.900x038
淋巴瘤结外侵及	C85.900x039
颈淋巴瘤	C85.900x040
心脏淋巴瘤	C85.900x041
胰腺淋巴瘤	C85.900x042
肾淋巴瘤	C85.900x043
复合性霍奇金和非霍奇金淋巴瘤	C85.901
原发皮肤间变性大细胞淋巴瘤	C85.902
瓦尔登斯特伦巨球蛋白血症	C88.000
高粘滞综合征	C88.000x002
巨球蛋白血症伴缓解	C88.000x011
高粘滞综合征伴缓解	C88.000x012
α重链病	C88.100M97620/3
a重链病伴缓解	C88.100x011
γ重链病	C88.200M97630/3
γ重链病伴缓解	C88.200x011
富兰克林病伴缓解	C88.200x012
富兰克林病	C88.201
免疫增生性小肠病	C88.300
地中海淋巴瘤	C88.301
恶性免疫增生性疾病其他的	C88.700
重链病	C88.700x002
μ重链病	C88.700x003
重链病伴缓解	C88.700x012
μ重链病伴缓解	C88.700x013
血管中心性免疫增生性病变恶性	C88.701
恶性免疫增生性疾病	C88.900
原发性免疫疾病相关性淋巴增殖性疾病	C88.900x001
多发性骨髓瘤	C90.000
浆细胞骨髓瘤浆细胞瘤	C90.000x002
多发性骨髓瘤肾病	C90.000x003+N16.1*
卡勒病	C90.000x004
浆细胞病	C90.000x005
多发性骨髓瘤引起的肾小球疾患	C90.000x007+N08.1*
多发性骨髓瘤引起的变形性骨炎	C90.000x008+M90.6*
多发性骨髓瘤髓外浸润	C90.000x009
多发性骨髓瘤伴缓解	C90.000x011
浆细胞性骨髓瘤伴缓解	C90.000x012
多发性骨髓瘤肾病伴缓解	C90.000x013+N16.1*
卡勒病伴缓解	C90.000x014
多发性骨髓瘤IgGλ型	C90.000x021
多发性骨髓瘤IgGк型	C90.000x022
多发性骨髓瘤轻链λ型	C90.000x023
多发性骨髓瘤轻链к型	C90.000x024
多发性骨髓瘤无分泌型	C90.000x025
多发性骨髓瘤IgDλ型	C90.000x026
多发性骨髓瘤IgAλ型	C90.000x027
多发性骨髓瘤IgAк型	C90.000x028
多发性骨髓瘤IgDк型	C90.000x029
多发性骨髓瘤DS分期I期	C90.000x030
多发性骨髓瘤DS分期II期B组	C90.000x031
多发性骨髓瘤DS分期II期	C90.000x032
多发性骨髓瘤DS分期III期B组	C90.000x033
多发性骨髓瘤DS分期III期	C90.000x034
多发性骨髓瘤DS分期I期B组	C90.000x035
多发性骨髓瘤ISS分期III期	C90.000x036
多发性骨髓瘤ISS分期III期B组	C90.000x037
多发性骨髓瘤ISS分期II期	C90.000x038
多发性骨髓瘤ISS分期II期B组	C90.000x039
多发性骨髓瘤ISS分期I期	C90.000x040
多发性骨髓瘤ISS分期I期B组	C90.000x041
骨髓瘤病	C90.001
浆细胞性骨髓瘤	C90.002
骨的孤立性浆细胞瘤	C90.003
浆细胞白血病	C90.100
继发性浆细胞白血病	C90.100x002
浆细胞白血病伴缓解	C90.100x011
T细胞大颗粒淋巴细胞白血病	C90.101M98310/1
髓外浆细胞瘤	C90.200
骨孤立性浆细胞瘤	C90.200x005
骨浆细胞瘤	C90.200x007
软组织浆细胞瘤	C90.200x008
原发皮肤浆细胞瘤	C90.200x009
浆细胞瘤伴缓解	C90.200x011
髓外的浆细胞瘤伴缓解	C90.200x013
孤立性骨髓瘤伴缓解	C90.200x014
骨孤立性浆细胞瘤伴缓解	C90.200x015
浆细胞肉瘤伴缓解	C90.200x016
浆细胞瘤	C90.201
孤立性骨髓瘤	C90.202
浆细胞肉瘤	C90.203
单发性浆细胞骨髓瘤	C90.204
ALK阳性大B细胞淋巴瘤	C90.205
起源于HHV8相关多中心性癌stleman病的大B细胞淋巴瘤	C90.206
急性淋巴细胞白血病	C91.000
前B细胞急性淋巴细胞白血病	C91.000x006
前T细胞急性淋巴细胞白血病	C91.000x007
B淋巴母细胞性白血病淋巴瘤	C91.000x009
急性淋巴细胞白血病L1伴缓解	C91.000x012
急性淋巴细胞白血病L2伴缓解	C91.000x013
急性淋巴细胞白血病L3伴缓解	C91.000x014
慢性粒细胞性白血病伴缓解急淋变	C91.000x015
T淋巴母细胞白血病淋巴瘤	C91.000x016
前T细胞急性淋巴细胞白血病伴缓解	C91.000x017
急性淋巴细胞性白血病L1型	C91.001
急性淋巴细胞性白血病L2型	C91.002
急性淋巴细胞性白血病L3型	C91.003
慢性粒细胞性白血病急淋变	C91.004
伯基特细胞白血病	C91.005
急性淋巴细胞白血病完全缓解	C91.006
慢性淋巴细胞白血病	C91.100
慢性淋巴细胞白血病伴缓解	C91.100x011
慢性淋巴细胞性白血病急性变	C91.101
亚急性淋巴细胞白血病	C91.200
幼淋巴细胞白血病	C91.300
幼淋巴细胞白血病伴缓解	C91.300x011
幼淋巴细胞白血病B细胞型	C91.301
幼淋巴细胞白血病T细胞型	C91.302
前体细胞淋巴细胞白血病	C91.303
前体B细胞淋巴细胞白血病	C91.304
前体T细胞淋巴细胞白血病	C91.305
前T淋巴细胞白血病	C91.306M98341/3
多毛细胞白血病	C91.400
毛细胞白血病变异型	C91.400x004
毛细胞白血病伴缓解	C91.400x013
白血病性网状内皮细胞增多症	C91.401
成人T细胞白血病	C91.500
成人T细胞白血病淋巴瘤	C91.500x003
成人T细胞白血病伴缓解	C91.500x011
淋巴样白血病其他的	C91.700
非白血性淋巴细胞性白血病	C91.701
T细胞大颗粒淋巴细胞白血病	C91.702
侵袭性NK细胞白血病	C91.703
淋巴样白血病	C91.900
Richter综合征	C91.900x001
淋巴细胞白血病	C91.901
急性髓样白血病	C92.000
急性粒细胞性白血病未分化型M1型	C92.000x001
急性粒细胞性白血病部分分化型M2型	C92.000x002
急性粒细胞性白血病	C92.000x003
急性嗜碱性粒细胞白血病	C92.000x006
急性粒细胞性白血病未分化型伴缓解M1型	C92.000x011
急性粒细胞性白血病部分分化型伴缓解M2型	C92.000x012
急性粒细胞性白血病伴缓解	C92.000x013
急性髓系白血病伴有异常的骨髓嗜酸性粒细胞	C92.001
急性髓系白血病最低分化	C92.002
急性髓系白血病不伴有成熟	C92.003
急性髓系白血病伴有成熟	C92.004
急性髓系白血病完全缓解	C92.005
急性髓系白血病t69p23q34DEKNUP214	C92.006
慢性髓样白血病	C92.100
慢性粒细胞性白血病	C92.100x001
慢性粒细胞性白血病急性变	C92.100x002
慢性髓单核细胞性白血病	C92.100x004
慢性粒细胞性白血病伴缓解	C92.100x011
慢性粒细胞性白血病伴缓解急性变	C92.100x012
慢性髓单核细胞性白血病伴缓解	C92.100x014
慢性髓系白血病伴缓解	C92.100x016
慢性髓系白血病急性发作	C92.101
慢性中幼粒细胞性白血病	C92.102
慢性髓系白血病BCRABL阳性	C92.103
非典型性慢性髓系白血病BCRABL阴性	C92.104
慢性中性粒细胞白血病	C92.105
亚急性髓样白血病	C92.200
慢性粒细胞白血病加速期	C92.200x001
慢性粒细胞白血病伴缓解加速期	C92.200x011
亚急性粒细胞性白血病	C92.201
髓样肉瘤	C92.300
绿色瘤	C92.300x001
粒细胞肉瘤	C92.300x003
绿色瘤伴缓解	C92.300x011
粒细胞肉瘤伴缓解	C92.300x013
急性早幼粒细胞白血病	C92.400
急性早幼粒细胞白血病M3型	C92.400x001
急性早幼粒细胞白血病伴缓解M3型	C92.400x011
急性早幼粒细胞性白血病完全缓解	C92.401
急性粒单核细胞白血病	C92.500
急性粒单核细胞白血病M4型	C92.500x001
急性粒单核细胞白血病伴缓解M4型	C92.500x011
髓样白血病其他的	C92.700
慢性嗜酸性粒细胞白血病高嗜酸性粒细胞增多症	C92.700x004
唐氏综合征相关的髓系白血病	C92.700x006
嗜碱细胞性白血病伴缓解	C92.700x012
嗜酸细胞性白血病伴缓解	C92.700x013
慢性嗜酸性粒细胞白血病伴缓解高嗜酸性粒细胞增多症伴缓解	C92.700x014
非白血性髓系白血病	C92.701
慢性粒单核细胞白血病	C92.702
嗜碱细胞白血病	C92.703
幼年粒单核细胞白血病	C92.704
嗜酸细胞白血病	C92.706
髓样白血病	C92.900
低增生性粒细胞性白血病	C92.900x001
低增生性粒细胞性白血病伴缓解	C92.900x011
粒细胞白血病	C92.901
急性单核细胞白血病	C93.000
急性单核细胞性白血病M5型	C93.000x001
急性单核细胞性白血病伴缓解M5型	C93.000x011
急性单核细胞白血病伴缓解	C93.000x016
慢性单核细胞白血病	C93.100
慢性单核细胞白血病伴缓解	C93.100x011
慢性单核细胞白血病急性加重	C93.101
亚急性单核细胞白血病	C93.200
单核细胞白血病其他的	C93.700
非白血性单核细胞白血病	C93.701
单核细胞白血病	C93.900
组织细胞白血病	C93.901
急性红细胞增多症和红白血病	C94.000
急性红白血病M6型	C94.000x001
急性红细胞增多症	C94.000x003
迪古列尔莫病	C94.000x007
急性红白血病伴缓解M6型	C94.000x011
急性红细胞增多症伴缓解	C94.000x013
迪古列尔莫病伴缓解	C94.000x017
红白血病	C94.001
红细胞增多性骨髓组织增生	C94.002
红细胞增多	C94.003
慢性红细胞增多症	C94.100
海尔迈尔舍纳病伴缓解	C94.100x013
海尔迈尔舍纳病	C94.101
急性原巨核细胞白血病	C94.200
急性巨核细胞白血病M7型	C94.200x001
急性原巨核白血病	C94.200x002
急性巨核细胞白血病伴缓解M7型	C94.200x011
急性原巨核白血病伴缓解	C94.200x012
急性巨核细胞性白血病	C94.201
肥大细胞白血病	C94.300
肥大细胞白血病伴缓解	C94.300x011
急性全骨髓增殖症	C94.400
急性骨髓纤维化	C94.500
白血病其他特指的	C94.700
慢性中性粒细胞性白血病	C94.700x001
慢性粒单核细胞性白血病	C94.700x002
幼年型粒单核细胞白血病	C94.700x003
中枢神经系统白血病	C94.700x004
慢性中性粒细胞性白血病伴缓解	C94.700x011
慢性粒单核细胞性白血病伴缓解	C94.700x012
幼年型粒单核细胞白血病伴缓解	C94.700x013
中枢神经系统白血病伴缓解	C94.700x014
淋巴肉瘤细胞白血病	C94.701
急性白血病	C95.000
急性白血病髓外复发	C95.000x002
急性非淋巴细胞性白血病	C95.000x003
急性白血病谱系未定	C95.000x015
B淋巴细胞和髓系混合表型急性白血病	C95.000x016
T淋巴细胞和髓系混合表型急性白血病	C95.000x017
NK细胞淋巴母细胞性白血病淋巴瘤	C95.000x018
急性白血病伴缓解	C95.000x101
急性白血病髓外复发伴缓解	C95.000x102
急性白血病伴缓解谱系未定	C95.000x115
B淋巴细胞和髓系混合表型急性白血病伴缓解	C95.000x116
T淋巴细胞和髓系混合表型急性白血病伴缓解	C95.000x117
NK细胞淋巴母细胞性白血病淋巴瘤伴缓解	C95.000x118
母细胞性白血病	C95.001
干细胞白血病	C95.002
未分化细胞白血病	C95.003
慢性白血病	C95.100
慢性白血病伴缓解	C95.100x011
亚急性白血病	C95.200
白血病其他的	C95.700
高白细胞白血病	C95.700x001
先天性白血病	C95.700x002
皮肤白血病	C95.700x003
高白细胞白血病伴缓解	C95.700x011
白血病	C95.900
白血病性关节病	C95.900x003+M36.1*
难治性白血病	C95.900x005
白血病致肾小管间质疾患	C95.900x007+N16.1*
混合细胞性白血病伴缓解	C95.900x012
白血病性关节病伴缓解	C95.900x013+M36.1*
难治性白血病伴缓解	C95.900x015
白血病致肾小管间质疾患伴缓解	C95.900x017+N16.1*
混合细胞性白血病	C95.901
莱特雷尔西韦病	C96.000
急性婴儿网状内皮细胞增多症	C96.000x004
纤维母细胞性网状细胞肿瘤	C96.000x005
非类脂组织细胞增多病	C96.001
急性分化性进行性组织细胞增多症	C96.002
急性婴儿期网状内皮细胞增多症	C96.003
恶性组织细胞增多症	C96.100
朗格汉斯细胞肉瘤	C96.101
恶性肥大细胞瘤	C96.200
恶性皮肤型肥大细胞增多症	C96.200x004
全身性肥大细胞病	C96.200x005
皮肤外肥大细胞病	C96.200x006
肥大细胞肉瘤伴缓解	C96.200x013
恶性肥大细胞增多症	C96.201
肥大细胞肉瘤	C96.202
真性组织细胞淋巴瘤	C96.300
淋巴造血和有关组织其他特指的恶性肿瘤	C96.700
交错树突细胞肉瘤	C96.700x001
滤泡树突状细胞肉瘤	C96.700x002
树突细胞肉瘤	C96.700x004
母细胞性浆细胞样树突细胞瘤	C96.700x005
指突状树突细胞肉瘤	C96.700x006
未定型树突细胞瘤	C96.700x007
母细胞性浆细胞样树状突细胞肿瘤	C96.701M97271/3
前体B细胞淋巴母细胞性淋巴瘤	C96.702
前体T细胞淋巴母细胞性淋巴瘤	C96.703
原发皮肤γδT细胞淋巴瘤	C96.704
种痘样水疱病样淋巴瘤	C96.705
前体细胞淋巴母细胞型淋巴瘤	C96.707
淋巴造血和有关组织的恶性肿瘤	C96.900
独立原发多个部位的恶性肿瘤	C97.x00
复合癌	C97.x01
唇口腔和咽原位癌	D00.000
唇红缘原位癌	D00.000x005
鼻咽原位癌	D00.000x007
腮腺原位癌	D00.000x008
颊粘膜原位癌	D00.000x014
扁桃体原位癌	D00.001
唇原位癌	D00.002
口腔原位癌	D00.003
舌原位癌	D00.004
杓状会厌褶原位癌	D00.005
口底原位癌	D00.006
咽原位癌	D00.007
下咽原位癌	D00.008
舌下腺原位癌	D00.009
颌下腺原位癌	D00.010
颊黏膜原位癌	D00.011
臼齿后区原位癌	D00.012
