链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
转移性恶性布伦纳瘤	M90000/6	{"dummy_term": ["转移性", "恶性", "布伦纳"], "3_disease_term": ["瘤"]}
肛门皮肤原位癌	D04.503	{"1_region_term": ["肛门", "皮肤"], "dummy_term": ["原位癌"]}
使用其他兴奋剂包括咖啡因引起的其他精神和行为障碍	F15.800	{"dummy_term": ["使用", "其他", "兴奋剂", "包括", "咖啡因", "引起", "的", "其他", "精神", "和", "行为障碍"]}
急性输尿管炎	N28.800x005	{"1_region_term": ["输尿管"], "dummy_term": ["急性", "炎"]}
浆液性胸膜炎	J90.x00x004	{"dummy_term": ["浆液", "性", "胸膜炎"]}
外生殖器挫伤	S30.200	{"dummy_term": ["外生殖器", "挫伤"]}
小袋纤毛虫病	A07.000	{"dummy_term": ["小袋", "纤毛虫", "病"]}
全身骨内多发性吸收	M83.802	{"1_region_term": ["全身", "骨"], "dummy_term": ["内", "多发性", "吸收"]}
市内有轨电车乘员在市内有轨电车上跌倒造成的损伤	V82.500	{"dummy_term": ["市内", "有轨电车", "乘员", "在", "市内", "有轨电车", "上", "跌倒", "造成", "的"], "3_disease_term": ["损伤"]}
卵巢切除术后骨质疏松伴有病理性骨折	M80.100	{"1_region_term": ["卵巢"], "dummy_term": ["骨质", "疏松", "伴有", "病理", "性骨折"], "5_others_term": ["切除术后"]}
关节继发恶性肿瘤	C79.500x011	{"1_region_term": ["关节"], "dummy_term": ["继发", "恶性肿瘤"]}
肩部二度腐蚀伤	T22.600x003	{"dummy_term": ["肩部", "二度", "腐蚀", "伤"]}
迷走神经损伤	S04.804	{"1_region_term": ["迷走神经"], "3_disease_term": ["损伤"]}
涎母细胞瘤	M89740/1	{"dummy_term": ["涎", "母细胞"], "3_disease_term": ["瘤"]}
肉芽性鼓膜炎	H73.800x007	{"dummy_term": ["肉芽", "性", "鼓膜炎"]}
小腿其他部位的骨折	S82.800	{"1_region_term": ["小腿"], "dummy_term": ["其他", "部位", "的"], "3_disease_term": ["骨折"]}
囊状眼球	Q11.000	{"1_region_term": ["眼球"], "dummy_term": ["囊", "状"]}
具有多次人工流产史者的妊娠监督	Z35.101	{"dummy_term": ["具有", "多次", "史者", "的", "妊娠", "监督"], "5_others_term": ["人工流产"]}
食管空肠吻合口瘘	K91.813	{"1_region_term": ["食管", "空肠"], "dummy_term": ["吻合", "口"], "3_disease_term": ["瘘"]}
慢性肾盂炎	N11.900x003	{"dummy_term": ["慢性", "肾盂炎"]}
上臂腱鞘脓肿	M65.002	{"1_region_term": ["上臂", "腱鞘"], "3_disease_term": ["脓肿"]}
急性阔韧带脓肿	N73.001	{"1_region_term": ["阔韧带"], "dummy_term": ["急性"], "3_disease_term": ["脓肿"]}
继发性红细胞增多症	D75.100	{"dummy_term": ["继发性", "红细胞", "增多", "症"]}
心内膜心肌纤维化	I42.301	{"1_region_term": ["心内膜", "心肌"], "dummy_term": ["纤维化"]}
胃底静脉曲张伴出血	I86.401	{"1_region_term": ["胃底静脉曲张"], "dummy_term": ["伴", "出", "血"]}
肠致病性大肠杆菌肠炎	A04.000x002	{"1_region_term": ["肠"], "dummy_term": ["致病性", "大肠杆菌", "肠炎"]}
多胎分娩均为顺产	O84.000	{"dummy_term": ["多胎", "分娩", "均", "为", "顺产"]}
皮瓣移植排斥	T86.800x814	{"1_region_term": ["皮瓣"], "dummy_term": ["排斥"], "2_operation_term": ["移植"]}
先天性趾畸形	Q66.800x010	{"1_region_term": ["趾"], "dummy_term": ["先天性"], "3_disease_term": ["畸形"]}
常规一般性健康查体其他限定人群的	Z10.800	{"dummy_term": ["常规", "一般性", "健康", "查", "体", "其他", "限定", "人群", "的"]}
胆红素排泄障碍	E80.600x006	{"dummy_term": ["胆红素", "排泄", "障碍"]}
妊娠合并腹泻	O99.600x010	{"dummy_term": ["妊娠", "合", "并"], "3_disease_term": ["腹泻"]}
非血小板减少性紫癜其他的	D69.200	{"dummy_term": ["非", "减少", "性", "紫癜", "其他", "的"], "5_others_term": ["血小板"]}
成釉细胞纤维肉瘤	M93300/3	{"dummy_term": ["成釉细胞", "纤维", "肉瘤"]}
慢性特发性组织细胞增生症	D76.005	{"dummy_term": ["慢性", "特发性", "组织细胞", "增生症"]}
妊娠合并宫颈狭窄	O34.405	{"1_region_term": ["宫颈"], "dummy_term": ["妊娠", "合", "并"], "3_disease_term": ["狭窄"]}
肺泡腺癌	M82510/3	{"dummy_term": ["肺泡", "腺癌"]}
颈动脉夹层	I72.000x003	{"1_region_term": ["颈动脉"], "dummy_term": ["夹层"]}
胰岛细胞腺瘤	M81500/0	{"dummy_term": ["胰岛", "细胞", "腺瘤"]}
红甲	L60.800x012	{"1_region_term": ["甲"], "dummy_term": ["红"]}
与有害事件有关的耳鼻喉科假体和其他植入物材料和附件装置	Y72.200	{"dummy_term": ["与", "有害", "事件", "有关", "的", "耳鼻喉科", "和", "其他", "材料", "和", "附件", "装置"], "4_implant_term": ["假体", "植入物"]}
腹膜出血	K66.101	{"1_region_term": ["腹膜"], "dummy_term": ["出", "血"]}
支气管结核复治多耐药涂阴培阳	A15.500x023	{"1_region_term": ["支气管"], "dummy_term": ["结核", "复", "治", "多", "耐药", "涂", "阴", "培", "阳"]}
腭正中囊肿	K09.101	{"1_region_term": ["腭"], "dummy_term": ["正中"], "3_disease_term": ["囊肿"]}
复发性阑尾炎	K36.x01	{"dummy_term": ["阑尾炎"], "5_others_term": ["复发性"]}
为妊娠子宫其他异常给予的孕产妇医疗	O34.500	{"1_region_term": ["妊娠子宫"], "dummy_term": ["为", "其他", "异常", "给予", "的", "孕产妇", "医疗"]}
移行细胞癌	M81200/3	{"dummy_term": ["移行", "细胞", "癌"]}
伯基特瘤	C83.700	{"dummy_term": ["伯", "基特"], "3_disease_term": ["瘤"]}
药物诱导性肌病	G72.000x001	{"1_region_term": ["肌"], "dummy_term": ["诱导性", "病"], "5_others_term": ["药物"]}
孕产妇产前筛查的血液学异常所见	O28.000	{"dummy_term": ["孕产妇", "筛查", "的", "血液学", "异常", "所", "见"], "5_others_term": ["产前"]}
利伯氏家族性视神经病Leber病	H47.200x005	{"dummy_term": ["利", "伯", "氏", "家族", "性", "视", "神经病", "Leber", "病"]}
中枢神经系统结核	A17.900x001+G99.8*	{"dummy_term": ["中枢神经", "系统", "结核"]}
胃动脉损伤	S35.202	{"1_region_term": ["胃动脉"], "3_disease_term": ["损伤"]}
多部位肿胀	R22.700x001	{"dummy_term": ["多", "部位", "肿胀"]}
先天性脑灰质异位症	Q04.802	{"1_region_term": ["脑"], "dummy_term": ["先天性", "灰质"], "3_disease_term": ["异位症"]}
新生儿肝炎	P59.201	{"dummy_term": ["新生儿", "肝炎"]}
痤疮样皮疹	R21.x00x003	{"dummy_term": ["痤疮", "样", "皮疹"]}
门静脉连接异常	Q26.500	{"1_region_term": ["门静脉"], "dummy_term": ["连接", "异常"]}
肥厚型心肌病其他的	I42.200	{"dummy_term": ["肥厚型", "心肌病", "其他", "的"]}
红痱	L74.000	{"dummy_term": ["红", "痱"]}
喉肌弱症	J38.700x003	{"1_region_term": ["喉", "肌"], "dummy_term": ["弱", "症"]}
新生儿中毒性红斑	P83.100	{"dummy_term": ["新生儿", "中毒", "性", "红斑"]}
躯干血管瘤	D18.000x014	{"1_region_term": ["躯干"], "dummy_term": ["血管瘤"]}
甲亢性肌无力综合征	E05.900x007+G73.0*	{"dummy_term": ["甲亢", "性", "肌无力", "综合征"]}
输尿管子宫内膜异位症	N80.804	{"1_region_term": ["输尿管", "子宫内膜"], "3_disease_term": ["异位症"]}
椎管内脓肿	G06.100x002	{"1_region_term": ["椎管内"], "3_disease_term": ["脓肿"]}
会厌恶性肿瘤	C32.101	{"1_region_term": ["会厌"], "dummy_term": ["恶性肿瘤"]}
闭塞性动脉炎	I70.901	{"dummy_term": ["闭塞性", "动脉炎"]}
外上唇恶性肿瘤	C00.000	{"dummy_term": ["外", "上唇", "恶性肿瘤"]}
髌骨恶性肿瘤	C40.301	{"1_region_term": ["髌骨"], "dummy_term": ["恶性肿瘤"]}
先天性颊部副耳	Q17.000x005	{"1_region_term": ["颊部", "副耳"], "dummy_term": ["先天性"]}
单纯性肾囊肿	N28.101	{"dummy_term": ["单纯性", "肾囊肿"]}
三轮机动车乘员在三轮机动车与行人或牲畜碰撞中的损伤	V30.x00	{"dummy_term": ["三轮", "机动车", "乘员", "在", "三轮", "机动车", "与", "行人", "或", "牲畜", "碰撞", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
全身性淋巴结增大	R59.100	{"1_region_term": ["全身性", "淋巴结"], "dummy_term": ["增大"]}
肾小球滤过率下降	R94.401	{"dummy_term": ["肾小球", "滤过", "率", "下降"]}
颅内镜像动脉瘤	I67.100x018	{"1_region_term": ["颅内"], "dummy_term": ["镜像"], "3_disease_term": ["动脉瘤"]}
足先露难产	O64.805	{"1_region_term": ["足"], "dummy_term": ["先露", "难产"]}
生长期脱发	L65.800x005	{"dummy_term": ["生长期", "脱发"]}
睾丸原位癌	D07.602	{"1_region_term": ["睾丸"], "dummy_term": ["原位癌"]}
葡萄球菌性烫伤样皮肤综合征	L00.x00	{"1_region_term": ["皮肤"], "dummy_term": ["葡萄球菌", "性", "烫伤", "样", "综合征"]}
房性心动过速	I47.101	{"dummy_term": ["房性", "心动过速"]}
分类于他处的其他疾病引起的食管疾患	K23.8*	{"1_region_term": ["食管"], "dummy_term": ["分类", "于", "他", "处", "的", "其他", "疾病", "引起", "的", "疾患"]}
高免疫球蛋白血症	R76.800x001	{"dummy_term": ["高", "免疫", "球蛋白", "血症"]}
阿米巴肉芽肿	A06.300x001	{"dummy_term": ["阿米巴"], "3_disease_term": ["肉芽肿"]}
外耳道瘢痕	H61.800x005	{"1_region_term": ["外耳道"], "3_disease_term": ["瘢痕"]}
药物不良反应	T88.700x002	{"dummy_term": ["不良反应"], "5_others_term": ["药物"]}
恶性淋巴瘤淋巴浆细胞性	C83.801	{"1_region_term": ["淋巴"], "dummy_term": ["恶性", "淋巴瘤", "浆细胞", "性"]}
胸腺瘤B3型	M85850/1	{"1_region_term": ["胸"], "dummy_term": ["腺瘤", "B3", "型"]}
慢性骨髓炎伴有引流窦道	M86.400	{"dummy_term": ["慢性", "骨髓炎", "伴有", "引流"], "3_disease_term": ["窦道"]}
脉络膜结核瘤	A18.500x010+H32.0*	{"1_region_term": ["脉络膜"], "dummy_term": ["结核"], "3_disease_term": ["瘤"]}
先天性鼻中隔偏曲	Q67.403	{"1_region_term": ["鼻中隔"], "dummy_term": ["先天性", "偏", "曲"]}
先天性尾骨畸形	Q76.419	{"1_region_term": ["尾骨"], "dummy_term": ["先天性"], "3_disease_term": ["畸形"]}
中枢神经系统血管炎	I77.600x016	{"dummy_term": ["中枢神经", "系统", "血管炎"]}
寻常性脓疱病	L01.008	{"dummy_term": ["寻常", "性", "脓疱", "病"]}
玻璃体损伤	S05.903	{"1_region_term": ["玻璃体"], "3_disease_term": ["损伤"]}
急性肝衰竭	K72.003	{"1_region_term": ["肝"], "dummy_term": ["急性", "衰竭"]}
先天性三尖瓣缺如	Q22.802	{"1_region_term": ["三尖瓣"], "dummy_term": ["先天性", "缺如"]}
线状硬皮病	L94.100	{"dummy_term": ["线状", "硬皮病"]}
静脉其他特指的疾患	I87.800	{"1_region_term": ["静脉"], "dummy_term": ["其他", "特指", "的", "疾患"]}
脾穿透伤	S36.000x081	{"1_region_term": ["脾"], "dummy_term": ["穿透", "伤"]}
失重效应	T75.800x002	{"dummy_term": ["失重", "效应"]}
胎儿腭裂	O35.800x011	{"dummy_term": ["腭裂"], "5_others_term": ["胎儿"]}
臀周围神经和自主神经交界性肿瘤	D48.200x037	{"1_region_term": ["周围神经"], "dummy_term": ["臀", "和", "自主神经", "交界", "性", "肿瘤"]}
肩部瘢痕	L90.500x032	{"dummy_term": ["肩部"], "3_disease_term": ["瘢痕"]}
钩突肥大	J34.800x004	{"1_region_term": ["钩突"], "dummy_term": ["肥大"]}
隐性预激综合征	I45.602	{"dummy_term": ["隐性", "预", "激", "综合征"]}
乳房脂肪瘤	D17.100x002	{"1_region_term": ["乳房"], "dummy_term": ["脂肪瘤"]}
焦虑性抑郁症	F41.201	{"dummy_term": ["焦虑", "性", "抑郁症"]}
流行性腮腺炎并发胸骨前水肿	B26.800x004	{"1_region_term": ["胸骨"], "dummy_term": ["流行性", "腮腺炎", "并发", "前"], "3_disease_term": ["水肿"]}
特大胎儿引起的梗阻性分娩	O66.200	{"dummy_term": ["引起", "的", "分娩"], "5_others_term": ["特大", "胎儿"], "3_disease_term": ["梗阻性"]}
完全性流产其他的无并发症	O05.900	{"dummy_term": ["流产", "其他", "的", "无", "并发症"], "5_others_term": ["完全性"]}
放射性皮炎	L58.900	{"dummy_term": ["放射性", "皮炎"]}
运动性外斜视	H50.107	{"dummy_term": ["运动性", "外", "斜视"]}
二甲苯中毒	T52.200x003	{"dummy_term": ["二甲苯", "中毒"]}
肠病性关节病其他的	M07.6*	{"1_region_term": ["肠"], "dummy_term": ["病", "性", "关节病", "其他", "的"]}
盲肠后脓肿	K65.011	{"1_region_term": ["盲肠"], "dummy_term": ["后"], "3_disease_term": ["脓肿"]}
电解质热量和水平衡剂中毒	T50.300	{"dummy_term": ["电解质", "热量", "和", "水平衡", "剂", "中毒"]}
体育比赛队的常规一般性健康查体	Z10.300	{"dummy_term": ["体育比赛", "队", "的", "常规", "一般性", "健康", "查", "体"]}
病毒性脑脊髓炎	A86.x01	{"dummy_term": ["病毒性", "脑脊髓", "炎"]}
下肢其他特指损伤的后遗症	T93.800	{"1_region_term": ["下肢"], "dummy_term": ["其他", "特指", "的", "后遗症"], "3_disease_term": ["损伤"]}
先天性肾动脉畸形	Q27.200x002	{"1_region_term": ["肾动脉"], "dummy_term": ["先天性"], "3_disease_term": ["畸形"]}
妊娠合并输卵管卵巢囊肿	O34.800x022	{"1_region_term": ["输卵管"], "dummy_term": ["妊娠", "合", "并", "卵巢囊肿"]}
小动脉性肾病	I12.900x006	{"dummy_term": ["小动脉", "性", "肾病"]}
冠状动脉旁路搭桥术和瓣膜移植物的机械性并发症	T82.200	{"1_region_term": ["冠状动脉"], "dummy_term": ["旁路", "和", "的", "机械性", "并发症"], "2_operation_term": ["搭桥术", "移植物"], "5_others_term": ["瓣膜"]}
克鲁肯贝格瘤	M84901/6	{"dummy_term": ["克", "鲁", "肯", "贝格"], "3_disease_term": ["瘤"]}
脊髓前动脉闭塞综合征	G95.109	{"1_region_term": ["脊髓", "动脉"], "dummy_term": ["前", "闭塞", "综合征"]}
单侧痣	Q82.501	{"dummy_term": ["痣"], "5_others_term": ["单侧"]}
前房角破裂	H21.508	{"1_region_term": ["前房角"], "3_disease_term": ["破裂"]}
足的其他和未特指部位的脱位	S93.300	{"1_region_term": ["足"], "dummy_term": ["的", "其他", "和", "未", "特指", "部位", "的"], "3_disease_term": ["脱位"]}
吸入和咽下其他物体引起的呼吸道梗阻	W80.x00	{"dummy_term": ["吸入", "和", "咽下", "其他", "物体", "引起", "的", "呼吸道"], "3_disease_term": ["梗阻"]}
龟头包皮炎	N48.100	{"dummy_term": ["龟头", "包皮炎"]}
恶性抗精神病药综合征	G21.000	{"dummy_term": ["恶性", "抗", "精神病", "药", "综合征"]}
自然流产伴有并发症	O03.802	{"dummy_term": ["自然", "流产", "伴有", "并发症"]}
在肩和上臂水平的其他肌肉和肌腱损伤	S46.800	{"1_region_term": ["肩", "上臂", "肌肉", "肌腱"], "dummy_term": ["在", "和", "水平", "的", "其他", "和"], "3_disease_term": ["损伤"]}
足关节滑膜破裂	M66.112	{"1_region_term": ["足", "关节", "滑膜"], "3_disease_term": ["破裂"]}
皮肤型鼠疫	A20.101	{"1_region_term": ["皮肤"], "dummy_term": ["型", "鼠疫"]}
小汽车乘员在交通事故中的损伤	V49.900	{"dummy_term": ["小汽车", "乘员", "在", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
附睾结核	A18.118+N51.1*	{"1_region_term": ["附睾"], "dummy_term": ["结核"]}
心包其他特指的疾病	I31.800	{"1_region_term": ["心包"], "dummy_term": ["其他", "特指", "的", "疾病"]}
皮瓣延迟状态	Z94.500x007	{"1_region_term": ["皮瓣"], "dummy_term": ["状态"], "3_disease_term": ["延迟"]}
胆囊错构瘤	Q85.900x019	{"1_region_term": ["胆囊"], "dummy_term": ["错构瘤"]}
胃溃疡伴出血和急性穿孔	K25.200x001	{"1_region_term": ["胃溃疡"], "dummy_term": ["伴", "出", "血", "和", "急性"], "3_disease_term": ["穿孔"]}
CEA升高	R77.800x005	{"dummy_term": ["CEA", "升高"]}
结肠支架置入术后	Z98.800x906	{"1_region_term": ["结肠"], "dummy_term": ["后"], "2_operation_term": ["支架置入术"]}
气管动态未定肿瘤	D38.102	{"1_region_term": ["气管"], "dummy_term": ["动态", "未定", "肿瘤"]}
先天性子宫尿道瘘	Q51.701	{"1_region_term": ["子宫", "尿道"], "dummy_term": ["先天性"], "3_disease_term": ["瘘"]}
慢性非化脓性中耳炎其他的	H65.400	{"dummy_term": ["慢性", "非", "化脓性", "中耳炎", "其他", "的"]}
乳房炎性肉芽肿	N61.x01	{"1_region_term": ["乳房"], "dummy_term": ["炎", "性"], "3_disease_term": ["肉芽肿"]}
慢性化脓性中耳炎骨疡型	H74.802	{"1_region_term": ["骨"], "dummy_term": ["慢性", "化脓性", "中耳炎", "疡", "型"]}
泌尿系括约肌植入物引起的机械性并发症	T83.100x003	{"1_region_term": ["泌尿系"], "dummy_term": ["括约肌", "引起", "的", "机械性", "并发症"], "4_implant_term": ["植入物"]}
眼周区挫伤	S00.101	{"1_region_term": ["眼"], "dummy_term": ["周", "区", "挫伤"]}
蝶鞍区恶性肿瘤	C71.902	{"dummy_term": ["蝶鞍", "区", "恶性肿瘤"]}
趾骨良性肿瘤	D16.304	{"1_region_term": ["趾骨"], "dummy_term": ["良性肿瘤"]}
肺动脉瓣的其他先天性畸形	Q22.300	{"1_region_term": ["肺动脉瓣"], "dummy_term": ["的", "其他", "先天性"], "3_disease_term": ["畸形"]}
分类于他处的疾病引起的三尖瓣疾患	I39.2*	{"1_region_term": ["三尖瓣"], "dummy_term": ["分类", "于", "他", "处", "的", "疾病", "引起", "的", "疾患"]}
局灶性肾炎	N05.101	{"dummy_term": ["局", "灶", "性", "肾炎"]}
大脑撕裂伤	S06.203	{"1_region_term": ["大脑"], "dummy_term": ["伤"], "3_disease_term": ["撕裂"]}
颅内硬脑膜下脓肿	G06.000x019	{"1_region_term": ["颅内", "硬脑膜下"], "3_disease_term": ["脓肿"]}
酒精性肝硬化伴食管静脉曲张	K70.301+I98.2*	{"dummy_term": ["肝硬化", "伴食", "管"], "5_others_term": ["酒精性"], "3_disease_term": ["静脉曲张"]}
睾丸损伤	S39.900x010	{"1_region_term": ["睾丸"], "3_disease_term": ["损伤"]}
上臂伸肌腱自发性破裂	M66.202	{"1_region_term": ["上臂", "肌腱"], "dummy_term": ["伸", "自发性"], "3_disease_term": ["破裂"]}
输注后感染	T80.200x004	{"dummy_term": ["后", "感染"], "2_operation_term": ["输注"]}
急性创伤性胰腺炎重症	K85.815	{"dummy_term": ["急性", "创伤性", "胰腺炎", "重症"]}
创伤性腹内多器官破裂	S36.701	{"1_region_term": ["腹内"], "dummy_term": ["创伤性", "多", "器官"], "3_disease_term": ["破裂"]}
三尖瓣先天性畸形	Q22.900	{"1_region_term": ["三尖瓣"], "dummy_term": ["先天性"], "3_disease_term": ["畸形"]}
睾丸炎	N45.906	{"dummy_term": ["睾丸炎"]}
下肢一度烧伤	T24.100x003	{"1_region_term": ["下肢"], "dummy_term": ["一度", "烧伤"]}
先天性阴茎下弯	Q55.604	{"1_region_term": ["阴茎"], "dummy_term": ["先天性", "下", "弯"]}
肺结核痰培养阴性	A16.010	{"dummy_term": ["肺结核", "痰", "培养", "阴性"]}
边缘性前置胎盘伴出血	O44.101	{"1_region_term": ["胎盘"], "dummy_term": ["边缘性", "前置", "伴", "出", "血"]}
中枢神经系统变性	G31.900x009	{"dummy_term": ["中枢神经", "系统", "变性"]}
