链球菌感染性菌血症	A49.101	{"dummy_term": ["链球菌", "感染性", "菌血症"]}
红细胞增多性骨髓组织增生	C94.002	{"1_region_term": ["骨髓"], "dummy_term": ["红细胞", "增多", "性", "增生"], "5_others_term": ["组织"]}
开放性下肢骨折	T12.x10	{"dummy_term": ["下肢骨", "折"], "3_disease_term": ["开放性"]}
坏疽,不可归类在他处者	R02	{"dummy_term": ["坏疽", "不可", "归类", "在", "他", "处", "者"]}
副伤寒甲	A01.100	{"1_region_term": ["甲"], "dummy_term": ["副伤寒"]}
后天性马蹄内翻足	M21.505	{"1_region_term": ["足"], "dummy_term": ["后天性", "马蹄"], "3_disease_term": ["内翻"]}
胰腺生长抑制素增加	E16.802	{"1_region_term": ["胰腺"], "dummy_term": ["生长", "抑制", "素", "增加"]}
中枢神经系统的动态未定或动态未知的肿瘤	D43.900	{"dummy_term": ["中枢神经", "系统", "的", "动态", "未定", "或", "动态", "未知", "的", "肿瘤"]}
未特指的重度蛋白质-能量营养不良	E43	{"dummy_term": ["未", "特指", "的", "重度", "蛋白质", "-", "能量", "营养不良"]}
腕关节紊乱	M24.903	{"1_region_term": ["腕关节"], "dummy_term": ["紊乱"]}
溃疡性结肠炎，中度	K51.902	{"dummy_term": ["溃疡性", "结肠炎", ",", "中度"]}
在未特指的手术和医疗中使用剂量不当	Y63.9	{"dummy_term": ["在", "未", "特指", "的", "和", "医疗", "使用", "剂量", "不当"], "2_operation_term": ["手术"], "5_others_term": ["中"]}
支气管良性肿瘤	D14.301	{"1_region_term": ["支气管"], "dummy_term": ["良性肿瘤"]}
脾缘区B细胞淋巴瘤           	C83.810	{"1_region_term": ["脾"], "dummy_term": ["缘", "区", "B", "细胞", "淋巴瘤"]}
其他形式的脊柱侧弯	M41.8	{"1_region_term": ["脊柱"], "dummy_term": ["其他", "形式", "的", "侧弯"]}
由于群体压力使病人决定不进行免疫	Z28.101	{"dummy_term": ["由于", "群体压力", "使", "病人", "决定", "不", "进行", "免疫"]}
与家庭生活不适当有关，具有潜在健康问题	Z63.200	{"dummy_term": ["与", "生活", "不", "适当", "有关", ",", "具有", "潜在", "健康", "问题"], "5_others_term": ["家庭"]}
骨性胸廓部位未特指的骨折	S22.9	{"1_region_term": ["骨", "胸廓"], "dummy_term": ["性", "部位", "未", "特指", "的"], "3_disease_term": ["骨折"]}
手术后气胸	J95.804	{"dummy_term": ["气胸"], "5_others_term": ["手术后"]}
神经纤维瘤病(非恶性)	Q85.000	{"dummy_term": ["神经纤维", "病", "(", "非", "恶性", ")"], "3_disease_term": ["瘤"]}
臀部挫伤	S30.003	{"dummy_term": ["臀部", "挫伤"]}
阑尾炎	K37.x00	{"dummy_term": ["阑尾炎"]}
开放性尺骨骨折	S52.211	{"1_region_term": ["尺骨"], "3_disease_term": ["开放性", "骨折"]}
未特指的精神发育迟缓	F79	{"dummy_term": ["未", "特指", "的", "精神", "发育", "迟缓"]}
巨颌	K07.001	{"dummy_term": ["巨", "颌"]}
颅底良性肿瘤	D33.202	{"1_region_term": ["颅底"], "dummy_term": ["良性肿瘤"]}
产褥期发热	O86.401	{"dummy_term": ["产褥期", "发热"]}
骨脓肿	M86.808	{"1_region_term": ["骨"], "3_disease_term": ["脓肿"]}
骑手或乘员在与两轮或三轮机动车碰撞中的损伤	V80.300	{"dummy_term": ["骑手", "或", "乘员", "在", "与", "两轮", "或", "三轮", "机动车", "碰撞", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
产褥期乳腺炎	O91.201	{"dummy_term": ["产褥期", "乳腺炎"]}
开放性筛窦骨折	S02.114	{"1_region_term": ["筛窦"], "3_disease_term": ["开放性", "骨折"]}
苍白	R23.100	{"dummy_term": ["苍白"]}
与性发育和性取向有关的心理和行为障碍	F66	{"dummy_term": ["与", "性", "发育", "和", "性取向", "有关", "的", "和", "行为障碍"], "5_others_term": ["心理"]}
应力骨折,不可归类在他处者	M84.3	{"dummy_term": ["应力", "不可", "归类", "在", "他", "处", "者"], "3_disease_term": ["骨折"]}
与有害事件有关的妇产科治疗和康复装置(非手术的)	Y76.100	{"dummy_term": ["与", "有害", "事件", "有关", "的", "妇产科", "和", "康复", "装置", "(", "非手术", "的", ")"], "2_operation_term": ["治疗"]}
阿斯珀格综合征	F84.500	{"dummy_term": ["阿斯", "珀", "格", "综合征"]}
未特指的急性胰腺炎	K85.9	{"dummy_term": ["未", "特指", "的", "急性", "胰腺炎"]}
特发于胎儿和新生儿的其他水肿	P83.300	{"dummy_term": ["特发", "于", "和", "新生儿", "的", "其他"], "5_others_term": ["胎儿"], "3_disease_term": ["水肿"]}
睾丸和阴囊发育不全	Q55.100	{"1_region_term": ["睾丸", "阴囊"], "dummy_term": ["和", "发育不全"]}
结核性腹腔积液	A18.309	{"1_region_term": ["腹腔"], "dummy_term": ["结核性"], "5_others_term": ["积液"]}
血管免疫母细胞性T-细胞淋巴瘤	C84.401	{"1_region_term": ["血管"], "dummy_term": ["免疫", "母细胞", "性", "T", "-", "细胞", "淋巴瘤"]}
晶状体穿通伤	S05.603	{"dummy_term": ["晶状体", "穿通", "伤"]}
主要为性传播模式的其他感染并发于妊娠、分娩和产褥期	O98.300	{"dummy_term": ["主要", "为", "性传播", "模式", "的", "其他", "感染", "并发", "于", "妊娠", ",", "分娩", "和", "产褥期"]}
颈部浅表冻伤	T33.100	{"1_region_term": ["颈部"], "dummy_term": ["浅表", "冻伤"]}
阿片样物质遗忘综合征	F11.6	{"dummy_term": ["阿片", "样", "物质", "遗忘", "综合征"]}
慢性膀胱炎，其他的	N30.200	{"dummy_term": ["慢性", "膀胱炎", ",", "其他", "的"]}
结缔组织病肺间质纤维化	M35.904†J99.1*	{"1_region_term": ["肺"], "dummy_term": ["结缔组织", "病", "间质", "纤维化"]}
脊髓空洞症和延髓空洞症	G95.000	{"1_region_term": ["脊髓"], "dummy_term": ["空洞", "症", "和", "延髓", "空洞", "症"]}
新生儿颅骨软化	P96.301	{"1_region_term": ["新生儿颅骨"], "dummy_term": ["软化"]}
分裂情感性障碍，其他的	F25.800	{"dummy_term": ["分裂", "情感性", "障碍", ",", "其他", "的"]}
胎儿和新生儿未特指的颅内(非创伤性)出血	P52.9	{"1_region_term": ["颅内"], "dummy_term": ["和", "新生儿", "未", "特指", "的", "(", "非", "创伤性", ")", "出", "血"], "5_others_term": ["胎儿"]}
血清免疫学异常所见 	R76.900	{"dummy_term": ["血清", "免疫学", "异常", "所", "见"]}
未特指局部制剂的有害效应	Y56.9	{"dummy_term": ["未", "特指", "局部", "制剂", "的", "有害", "效应"]}
未特指的中枢神经系统的产伤	P11.9	{"dummy_term": ["未", "特指", "的", "中枢神经", "系统", "的", "产", "伤"]}
呼吸系统制剂中毒	T48.701	{"dummy_term": ["呼吸系统", "制剂", "中毒"]}
直立性蛋白尿 	N39.200	{"dummy_term": ["直立", "性", "蛋白尿"]}
牙齿萌出过晚	K00.604	{"1_region_term": ["牙齿"], "dummy_term": ["萌", "出过", "晚"]}
其他手术的随诊医疗	Z48	{"dummy_term": ["其他", "的", "随", "诊", "医疗"], "2_operation_term": ["手术"]}
分类于他处的其他疾病引起的骨坏死	M90.5*	{"dummy_term": ["分类", "于", "他", "处", "的", "其他", "疾病", "引起", "的", "骨坏死"]}
轻型货车或篷车的车辆外人员在轻型货车或篷车与行人或牲畜碰撞非交通事故中的损伤	V50.2	{"dummy_term": ["轻型", "货车", "或", "篷车", "的", "车辆", "外", "人员", "在", "轻型", "货车", "或", "篷车", "与", "行人", "或", "牲畜", "碰撞", "非", "交通事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
正中唇裂	Q36.100	{"dummy_term": ["正中", "唇裂"]}
放线菌瘤	B47.100	{"dummy_term": ["放线菌"], "3_disease_term": ["瘤"]}
血红蛋白-SC病	D57.201	{"dummy_term": ["血红蛋白", "-", "SC", "病"]}
宫颈其他特指的非炎性疾患	N88.800	{"1_region_term": ["宫颈"], "dummy_term": ["其他", "特指", "的", "非", "炎", "性", "疾患"]}
桡骨骨疣	M89.807	{"1_region_term": ["桡骨", "骨"], "dummy_term": ["疣"]}
其他继发性肺动脉高压	I27.2	{"1_region_term": ["肺动脉"], "dummy_term": ["其他", "继发性", "高压"]}
食管肿瘤	D37.702	{"1_region_term": ["食管"], "dummy_term": ["肿瘤"]}
大腿屈肌腱自发性破裂	M66.306	{"1_region_term": ["大腿", "肌腱"], "dummy_term": ["屈", "自发性"], "3_disease_term": ["破裂"]}
胸腔肿物	J98.901	{"1_region_term": ["胸腔"], "dummy_term": ["肿物"]}
公共汽车乘员在其他特指运输事故中的损伤	V79.800	{"dummy_term": ["公共汽车", "乘员", "在", "其他", "特指", "运输", "事故", "的"], "5_others_term": ["中"], "3_disease_term": ["损伤"]}
躯干自主神经肿瘤	D48.210	{"1_region_term": ["躯干"], "dummy_term": ["自主神经", "肿瘤"]}
妊娠合并风湿病	O99.813	{"dummy_term": ["妊娠", "合", "并", "风湿病"]}
意图不确定事件的后遗症	Y87.200	{"dummy_term": ["意图", "不", "确定", "事件", "的", "后遗症"]}
骨痛	M89.823	{"1_region_term": ["骨"], "dummy_term": ["痛"]}
阑尾良性肿瘤	D12.100	{"1_region_term": ["阑尾"], "dummy_term": ["良性肿瘤"]}
未特指的酒精性肝病	K70.9	{"dummy_term": ["未", "特指", "的", "肝病"], "5_others_term": ["酒精性"]}
头皮裂伤	S01.001	{"1_region_term": ["头皮"], "3_disease_term": ["裂伤"]}
面部其他和未特指部位的皮肤恶性肿瘤	C44.3	{"1_region_term": ["面部", "皮肤"], "dummy_term": ["其他", "和", "未", "特指", "部位", "的", "恶性肿瘤"]}
口腔粘膜损害	K13.701	{"dummy_term": ["口腔粘膜", "损害"]}
甲状舌管良性肿瘤	D34x01	{"1_region_term": ["甲状舌管"], "dummy_term": ["良性肿瘤"]}
上颌前突	K07.104	{"dummy_term": ["上颌前突"]}
在小腿水平的未特指神经的损伤	S84.9	{"1_region_term": ["小腿", "指神经"], "dummy_term": ["在", "水平", "的", "未", "特", "的"], "3_disease_term": ["损伤"]}
妊娠合并甲型肝炎	O98.401	{"dummy_term": ["妊娠", "合", "并", "甲型肝炎"]}
羊水和胎膜其他特指的疾患	O41.800	{"1_region_term": ["羊水"], "dummy_term": ["和", "胎膜", "其他", "特指", "的", "疾患"]}
眉弓恶性肿瘤	C41.012	{"1_region_term": ["眉弓"], "dummy_term": ["恶性肿瘤"]}
先天性腔静脉狭窄	Q26.000	{"1_region_term": ["腔静脉"], "dummy_term": ["先天性"], "3_disease_term": ["狭窄"]}
小腿部位未特指的开放性伤口	S81.9	{"1_region_term": ["小腿"], "dummy_term": ["部位", "未", "特指", "的"], "3_disease_term": ["开放性", "伤口"]}
颅神经继发恶性肿瘤	C79.402	{"1_region_term": ["颅神经"], "dummy_term": ["继发", "恶性肿瘤"]}
戊二酸血症	E72.302	{"dummy_term": ["戊", "二", "酸", "血症"]}
眼和附器其他部位腐蚀伤	T26.800	{"1_region_term": ["眼"], "dummy_term": ["和", "附", "器", "其他", "部位", "腐蚀", "伤"]}
输注、输血和治疗性注射后的并发症	T80.900	{"dummy_term": [",", "和", "性", "后", "的", "并发症"], "2_operation_term": ["输注", "输血", "治疗", "注射"]}
由于信仰或群体压力而使病人决定不进行操作	Z53.100	{"dummy_term": ["由于", "信仰", "或", "群体压力", "而", "使", "病人", "决定", "不", "进行"], "5_others_term": ["操作"]}
分裂情感性障碍，躁狂型	F25.000	{"dummy_term": ["分裂", "情感性", "障碍", ",", "躁狂", "型"]}
遗传性代谢病	E88.903	{"dummy_term": ["遗传性", "代谢", "病"]}
袢[强效]利尿剂中毒	T50.100	{"dummy_term": ["袢", "[", "强效", "]", "利尿剂", "中毒"]}
感染后尿道狭窄，不可归类在他处者	N35.100	{"1_region_term": ["尿道"], "dummy_term": ["感染", "后", ",", "不可", "归类", "在", "他", "处", "者"], "3_disease_term": ["狭窄"]}
与失业有关，具有潜在健康问题	Z56.000	{"dummy_term": ["与", "失业", "有关", ",", "具有", "潜在", "健康", "问题"]}
继发性月经稀少	N91.400	{"dummy_term": ["继发性", "月经", "稀少"]}
脊髓前动脉和椎动脉压迫综合征	M47.0+G99.2*	{"1_region_term": ["脊髓", "动脉", "椎动脉"], "dummy_term": ["前", "和", "压迫", "综合征"]}
二尖瓣和三尖瓣的疾患	I08.100	{"1_region_term": ["二尖瓣", "三尖瓣"], "dummy_term": ["和", "的", "疾患"]}
卵巢恶性肿瘤史妊娠监督	Z35.802	{"1_region_term": ["卵巢"], "dummy_term": ["恶性肿瘤", "史", "妊娠", "监督"]}
肩关节积血	M25.001	{"1_region_term": ["肩关节"], "3_disease_term": ["积血"]}
便秘	K59.000	{"3_disease_term": ["便秘"]}
起源于围生期其他特指的情况	P96.800	{"dummy_term": ["起源于", "围", "生", "期", "其他", "特指", "的", "情况"]}
内分泌疾病引起的肌病	G73.5*	{"1_region_term": ["肌"], "dummy_term": ["内分泌", "疾病", "引起", "的", "病"]}
营养性大红细胞性贫血	D52.002	{"dummy_term": ["大红", "细胞", "性贫血"], "2_operation_term": ["营养性"]}
其他形式的麻风	A30.8	{"dummy_term": ["其他", "形式", "的", "麻风"]}
局限性脑萎缩	G31.000	{"dummy_term": ["脑萎缩"], "5_others_term": ["局限性"]}
肾小球肾病	N05.901	{"dummy_term": ["肾小球", "肾病"]}
特殊筛查 	Z13.900	{"dummy_term": ["特殊", "筛查"]}
腋下结缔组织肿瘤	D48.112	{"dummy_term": ["腋下", "结缔组织", "肿瘤"]}
苔藓样皮炎	L28.002	{"dummy_term": ["苔藓", "样", "皮炎"]}
亨廷顿病性痴呆(G10+)	F02.2*	{"dummy_term": ["亨廷顿", "病", "性", "痴呆", "(", "G10", "+", ")"]}
复发性腹股沟斜疝	K40.904	{"1_region_term": ["腹股沟"], "5_others_term": ["复发性"], "3_disease_term": ["斜疝"]}
尿道肉阜	N36.200	{"1_region_term": ["尿道"], "dummy_term": ["肉", "阜"]}
孢子丝菌病	B42.900	{"dummy_term": ["孢子", "丝", "菌", "病"]}
未特指的肝衰竭	K72.9	{"1_region_term": ["肝"], "dummy_term": ["未", "特指", "的", "衰竭"]}
肛门和直肠的衣原体感染	A56.300	{"1_region_term": ["肛门", "直肠"], "dummy_term": ["和", "的", "衣原体", "感染"]}
颈椎胸椎滑脱	M43.003	{"1_region_term": ["颈椎", "胸椎"], "dummy_term": ["滑脱"]}
新生儿脐带大量出血	P51.000	{"dummy_term": ["新生儿", "脐带", "大量出", "血"]}
特殊检查 	Z01.900	{"dummy_term": ["特殊"], "2_operation_term": ["检查"]}
胰体恶性肿瘤	C25.100	{"1_region_term": ["胰"], "dummy_term": ["体", "恶性肿瘤"]}
孕产妇产前筛查未特指的异常所见	O28.9	{"dummy_term": ["孕产妇", "筛查", "未", "特指", "的", "异常", "所", "见"], "5_others_term": ["产前"]}
肺静脉闭锁	Q26.301	{"1_region_term": ["肺静脉"], "3_disease_term": ["闭锁"]}
日本血吸虫病	B65.201	{"dummy_term": ["日本", "血吸虫病"]}
鼻腔动态未定肿瘤	D38.501	{"1_region_term": ["鼻腔"], "dummy_term": ["动态", "未定", "肿瘤"]}
急性肾衰竭伴有肾小管坏死	N17.000	{"dummy_term": ["急性", "肾衰竭", "伴有", "肾小管", "坏死"]}
颊粘膜恶性肿瘤	C06.000	{"dummy_term": ["颊", "粘膜", "恶性肿瘤"]}
耳蝇蛆病	B87.400	{"1_region_term": ["耳"], "dummy_term": ["蝇蛆", "病"]}
与童年时失去所爱亲属有关，具有潜在健康问题	Z61.000	{"dummy_term": ["与", "童年", "时", "失去", "所", "爱", "亲属", "有关", ",", "具有", "潜在", "健康", "问题"]}
胎儿β地中海贫血	O35.202	{"dummy_term": ["β", "地中海", "贫血"], "5_others_term": ["胎儿"]}
腋结缔组织良性肿瘤	D21.301	{"dummy_term": ["腋", "结缔组织", "良性肿瘤"]}
在颈水平的血管损伤	S15.900	{"1_region_term": ["颈", "血管"], "dummy_term": ["在", "水平", "的"], "3_disease_term": ["损伤"]}
趾关节结核	A18.038†M01.1*	{"1_region_term": ["趾关节"], "dummy_term": ["结核"]}
手术后腹腔出血	T81.010	{"1_region_term": ["腹腔"], "dummy_term": ["出", "血"], "5_others_term": ["手术后"]}
新生儿低钠血症	P74.201	{"dummy_term": ["新生儿", "低钠血症"]}
宫颈缺如和不发育	Q51.500	{"1_region_term": ["宫颈"], "dummy_term": ["缺如", "和", "不", "发育"]}
间变性大B细胞淋巴瘤         	C83.305	{"dummy_term": ["间", "变性", "B", "细胞", "淋巴瘤"], "5_others_term": ["大"]}
播散性曲霉病	B44.700	{"dummy_term": ["播散", "性", "曲霉", "病"]}
未特指的内分泌腺恶性肿瘤	C75.9	{"dummy_term": ["未", "特指", "的", "内分泌腺", "恶性肿瘤"]}
未特指的大疱性疾患	L13.9	{"dummy_term": ["未", "特指", "的", "疱", "性", "疾患"], "5_others_term": ["大"]}
背部脓肿	L02.201	{"1_region_term": ["背部"], "3_disease_term": ["脓肿"]}
高危妊娠监督，其他的	Z35.800	{"dummy_term": ["高", "危", "妊娠", "监督", ",", "其他", "的"]}
双侧第一腕掌关节的创伤后关节病	M18.200	{"1_region_term": ["腕掌关节"], "dummy_term": ["第一", "的", "创伤", "后", "关节病"], "5_others_term": ["双侧"]}
表演型人格障碍	F60.400	{"dummy_term": ["表演", "型", "人格障碍"]}
混合型房间隔缺损	Q21.104	{"dummy_term": ["混合型", "房"], "3_disease_term": ["间隔缺损"]}
声带不典型性增生	J38.311	{"1_region_term": ["声带"], "dummy_term": ["不", "典型性", "增生"]}
外耳疖	H60.001	{"1_region_term": ["外耳"], "dummy_term": ["疖"]}
淤积性胆管炎	K83.009	{"dummy_term": ["淤积", "性", "胆管炎"]}
自我不和谐的性取向	F66.100	{"dummy_term": ["自我", "不", "和谐", "的", "性取向"]}
流行性感冒伴有其他表现,其他流感病毒被标明	J10.8	{"dummy_term": ["流行性感", "冒", "伴有", "其他", "表现", "其他", "流感病毒", "被", "标明"]}
淋巴细胞功能抗原-1[LFA-1]缺陷	D84.000	{"dummy_term": ["淋巴细胞", "功能", "抗原", "-", "1", "[", "LFA", "-", "1", "]", "缺陷"]}
骨髓增生异常综合征	D46.900	{"1_region_term": ["骨髓"], "dummy_term": ["增生", "异常", "综合征"]}
滤泡性淋巴瘤,I级          	C82.001	{"dummy_term": ["滤泡", "性", "淋巴瘤", "I", "级"]}
脐带帆状附着	O69.502	{"dummy_term": ["脐带", "帆", "状", "附着"]}
慢性肝炎，其他的不可归类在他处者	K73.800	{"dummy_term": ["慢性", "肝炎", ",", "其他", "的", "不可", "归类", "在", "他", "处", "者"]}
卵巢、输卵管和阔韧带先天性畸形	Q50	{"1_region_term": ["卵巢", "输卵管", "阔韧带"], "dummy_term": [",", "和", "先天性"], "3_disease_term": ["畸形"]}
颈内动脉海绵窦瘘	I67.106	{"1_region_term": ["颈内动脉", "海绵窦"], "3_disease_term": ["瘘"]}
耳和外耳道原位黑色素瘤	D03.200	{"1_region_term": ["耳", "外耳道"], "dummy_term": ["和", "原位", "黑色素瘤"]}
